run_id,source_file,experiment_label,problem_id,base_function,seed,fe_used,budget_match_status,historical_final_error,paper_reported_mean,paper_reported_std,better_than_paper_reported,offline_error_delta_vs_paper,runtime_dispatch_allowed,comparison_role
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S2\no_action_baseline\535b6e6870ad6b4249db347c1376f8b714997e9774decb472a82164cef9e537e\S2\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S2,schwefel,,2700000,non_3m_fe,2.258018e+04,5.58E3,3.21E1,0,1.700018e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S2\route_a_m184_repaired_heterogeneous\c8a1af281d92c27474bf40d3cd49fb7414021420bba08954957943e75fc829fa\S2\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S2,schwefel,,2700000,non_3m_fe,2.258018e+04,5.58E3,3.21E1,0,1.700018e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S2\shuffled_random_negative_control\5dc6f3099042a8443c5c256ad974471e76ce6d8b89cce2e59c8fb006a1dbac1e\S2\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S2,schwefel,,2700000,non_3m_fe,2.258018e+04,5.58E3,3.21E1,0,1.700018e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S3\no_action_baseline\598ef53a5d65d6bcaef3846f2b0dfd18ad6b5984e5b3893b63c30f880a830deb\S3\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S3,schwefel,,2700000,non_3m_fe,7.769275e+03,9.72E3,4.75E1,1,-1.950725e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S3\route_a_m184_repaired_heterogeneous\1aa0e304c299548fbf547f574d8e6e25450935b39b358bd92545643f9d091cb4\S3\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S3,schwefel,,2700000,non_3m_fe,7.769275e+03,9.72E3,4.75E1,1,-1.950725e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S3\shuffled_random_negative_control\de4d06ac8cd4d33c3183b34f284abea11443e63793e46e7df04c4d3d10d44338\S3\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S3,schwefel,,2700000,non_3m_fe,7.769275e+03,9.72E3,4.75E1,1,-1.950725e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S4\no_action_baseline\54c1a3680e5212dae85d3baeddd14f894ed774865e16ca0e67ae8c93f014f890\S4\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S4,schwefel,,2700000,non_3m_fe,1.331804e+05,1.24E3,5.31E1,0,1.319404e+05,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run\m186_route_a_action_utility_margin_low_risk_same_budget_smoke_tfes3000000\S4\route_a_m184_repaired_heterogeneous\a2437faf573042cc386d51eac9058256292479a611b309fcafac0abf82c4f7cd\S4\schwefel\evaluation_record.txt,mi_arac_action_m186_route_a_action_utility_margin_low_risk_same_budget_smoke_run,S4,schwefel,,2700000,non_3m_fe,1.331804e+05,1.24E3,5.31E1,0,1.319404e+05,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_prefix01_dispatch_phaseii_policy\tfes-2969000\A1\ackley\evaluation_record.txt,mi_arac_action_prefix01_dispatch_phaseii_policy,A1,ackley,,2970000,near_paper_3m_fe,7.870333e+04,7.76E4,1.25E1,0,1.103331e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_prefix01_dispatch_phaseii_policy\tfes-2969000\A2\ackley\evaluation_record.txt,mi_arac_action_prefix01_dispatch_phaseii_policy,A2,ackley,,2970000,near_paper_3m_fe,7.872275e+04,7.81E4,9.78E0,0,6.227509e+02,0,offline_historical_hcc_main_vs_paper_reported
